"y" "intercept" "treatment" "time" "treatXtime" "region"
13.9694283446192 1 0 1 0 36
3.93488974682116 1 0 0 0 36
31.9981905230069 1 1 1 1 19
8.07347094367471 1 1 0 0 19
30.9636746567516 1 1 1 1 45
11.0966295376301 1 1 0 0 45
42.8342804333417 1 1 1 1 37
11.3920616373631 1 1 0 0 37
28.8224874668511 1 1 1 1 19
7.34349581791169 1 1 0 0 19
33.7135912186856 1 1 1 1 43
9.71876906721759 1 1 0 0 43
18.1944799173157 1 0 1 0 37
5.47272798192244 1 0 0 0 37
10.6922180187909 1 0 1 0 19
5.35223320020965 1 0 0 0 19
42.8865133820599 1 1 1 1 37
10.3999117376748 1 1 0 0 37
32.9743451673344 1 1 1 1 43
8.54128745208139 1 1 0 0 43
36.5465606597304 1 1 1 1 41
11.0175004944776 1 1 0 0 41
40.731457077863 1 1 1 1 37
12.1503205306178 1 1 0 0 37
16.7437644868655 1 0 1 0 37
2.93085442829666 1 0 0 0 37
30.9786538860582 1 1 1 1 19
8.19065936360881 1 1 0 0 19
9.8687273979249 1 0 1 0 19
4.59831847344292 1 0 0 0 19
42.7855579695936 1 1 1 1 37
12.7638342994589 1 1 0 0 37
12.744194939963 1 0 1 0 19
4.0670246950033 1 0 0 0 19
16.7966366946084 1 0 1 0 41
5.62030247926457 1 0 0 0 41
18.4110613545444 1 0 1 0 37
5.22864260314524 1 0 0 0 37
11.0455995414442 1 0 1 0 19
2.2870891576387 1 0 0 0 19
16.645239465009 1 0 1 0 37
5.02215954948554 1 0 0 0 37
9.2031154368017 1 0 1 0 56
5.79734634422266 1 0 0 0 56
11.1264343497395 1 0 1 0 4
0.455873298662097 1 0 0 0 4
10.9085308919306 1 0 1 0 19
2.16520607731211 1 0 0 0 19
12.5813333386141 1 0 1 0 19
2.70725474287324 1 0 0 0 19
42.5406929618058 1 1 1 1 37
13.1407571840002 1 1 0 0 37
32.5724791268615 1 1 1 1 49
10.8748893090791 1 1 0 0 49
30.9754466904936 1 1 1 1 30
10.9604401832779 1 1 0 0 30
29.2245048891173 1 1 1 1 31
10.1786215474634 1 1 0 0 31
10.9393329623201 1 0 1 0 14
3.04202026688058 1 0 0 0 14
11.9002200110625 1 0 1 0 34
2.26083247667082 1 0 0 0 34
9.31965456160386 1 0 1 0 50
1.0559495296645 1 0 0 0 50
10.4909890728492 1 0 1 0 30
3.56919148018316 1 0 0 0 30
30.1626190156653 1 1 1 1 34
7.83809064303576 1 1 0 0 34
18.9319866576847 1 0 1 0 37
8.21545655033985 1 0 0 0 37
28.4021167615628 1 1 1 1 56
4.53585826694011 1 1 0 0 56
19.0500325579693 1 0 1 0 37
4.3132376470232 1 0 0 0 37
8.92857190181252 1 0 1 0 29
3.66470589251897 1 0 0 0 29
29.3911142365842 1 1 1 1 19
6.24740147576154 1 1 0 0 19
24.6555774858266 1 1 1 1 24
5.73840088497785 1 1 0 0 24
43.4478118805708 1 1 1 1 38
14.4610059964253 1 1 0 0 38
29.2696516413631 1 1 1 1 19
8.88504307445146 1 1 0 0 19
10.8472494722508 1 0 1 0 15
3.64419517928779 1 0 0 0 15
39.6078560350963 1 1 1 1 41
11.9412031414754 1 1 0 0 41
11.0173592214209 1 0 1 0 19
4.44981572193115 1 0 0 0 19
31.1988707127251 1 1 1 1 19
8.74930743796144 1 1 0 0 19
30.131461742917 1 1 1 1 19
7.08576373162961 1 1 0 0 19
16.6863137517404 1 0 1 0 36
3.41151462511347 1 0 0 0 36
10.9574569482323 1 0 1 0 35
4.06421176436561 1 0 0 0 35
30.9614044359072 1 1 1 1 30
7.3642485296365 1 1 0 0 30
10.3586621085488 1 0 1 0 34
3.33451354219795 1 0 0 0 34
8.94446619005211 1 0 1 0 1
1.282259274076 1 0 0 0 1
42.0938682066629 1 1 1 1 38
13.8524584087283 1 1 0 0 38
29.1531045591379 1 1 1 1 57
5.17786689109425 1 1 0 0 57
10.4549346172021 1 0 1 0 56
4.02963687015953 1 0 0 0 56
41.3687830061232 1 1 1 1 37
14.0409197825057 1 1 0 0 37
10.9252188386125 1 0 1 0 49
3.08136429921474 1 0 0 0 49
28.2529692664012 1 1 1 1 16
6.78776227353229 1 1 0 0 16
11.6277447970704 1 0 1 0 19
1.91906128092069 1 0 0 0 19
28.5921806751855 1 1 1 1 19
6.52542019497074 1 1 0 0 19
38.3304311094441 1 1 1 1 33
10.422878073903 1 1 0 0 33
7.66399922644667 1 0 1 0 48
1.31813026870206 1 0 0 0 48
13.5244882203924 1 0 1 0 54
1.69109751735257 1 0 0 0 54
11.8111829730107 1 0 1 0 19
2.93540969814721 1 0 0 0 19
10.1180253930396 1 0 1 0 19
2.72431154485722 1 0 0 0 19
40.0995948424805 1 1 1 1 41
11.9642867303755 1 1 0 0 41
12.0650429188622 1 0 1 0 30
2.54243640858621 1 0 0 0 30
26.8901140177461 1 1 1 1 19
9.57370945108867 1 1 0 0 19
9.41263909203748 1 0 1 0 19
3.87160021268702 1 0 0 0 19
46.1395402502574 1 1 1 1 38
11.8741639369718 1 1 0 0 38
10.3881578738729 1 0 1 0 40
